filename,report_number,commodity,type,heading_sequence
M-22-2025 Reliance Retails Apple - Container No. FSCU5352929.pdf,M-22-2025,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → NOTE: → PARAGRAPH 2.1 → THE CONDITION FOUND OF APPLE FRUITS: → SURVEY PHOTOGRAPHS:
M-22-2026 NGK Trading (GF Marketing Pty. Ltd) Apple Container No. MEDU9875536.pdf,M-22-2026,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → PARAGRAPH 2.1 → SURVEY PHOTOGRAPHS
M-23-2026 NGK Trading (GF Marketing Pty. Ltd) Apple Container No. OTPU6447532.pdf,M-23-2026,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → PARAGRAPH 2.1 → SURVEY PHOTOGRAPHS
M-236-2025 Reliance Retail Apple Container No. SZLU9896740.pdf,M-236-2025,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → NOTE: → PARAGRAPH 2.1 → THE CONDITION FOUND OF APPLE FRUITS: → SURVEY PHOTOGRAPHS:
M-24-2026 NGK Trading (GF Marketing Pty. Ltd) Apple Container No. SEGU9991830.pdf,M-24-2026,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → PARAGRAPH 2.1 → SURVEY PHOTOGRAPHS
M-241-2025 Natal International Apple Container No. HLBU6235270 (Bangalore).pdf,M-241-2025,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → NOTE: → PARAGRAPH 2.1 → THE CONDITION FOUND OF APPLE FRUITS: → SURVEY PHOTOGRAPHS:
M-248-2025 Reliance Retail Ltd Apple Container No. SEKU9257760.pdf,M-248-2025,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → NOTE: → PARAGRAPH 2.1 → THE CONDITION FOUND OF APPLE FRUITS: → SURVEY PHOTOGRAPHS:
M-249-2025 NGK Trading Apple Container No. EMCU5439924 .pdf,M-249-2025,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → Note: → PARAGRAPH 2.1 → SURVEY PHOTOGRAPHS:
M-25-2026 NGK Trading (GF Marketing Pty. Ltd) Apple Container No. MSDU9841019.pdf,M-25-2026,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → PARAGRAPH 2.1 → SURVEY PHOTOGRAPHS
M-250-2025 NGK Trading Apple Container No. EMCU5671009.pdf,M-250-2025,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → PARAGRAPH 2.1 → SURVEY PHOTOGRAPHS:
