filename,row_preview,computed_total,stated_total,difference
M-31-2026 Reliance Retail (Fruitways Marketing Pty. Ltd) Apple Container No. MNBU4391735.pdf, | 15.58 |  | 14.71 |  | ,70.37,9.54,60.83
M-31-2026 Reliance Retail (Fruitways Marketing Pty. Ltd) Apple Container No. MNBU4391735.pdf, | 16.86 |  | 15.27 |  | ,75.24,10.25,64.99
M-31-2026 Reliance Retail (Fruitways Marketing Pty. Ltd) Apple Container No. MNBU4391735.pdf, | 17.57 |  | 16.62 |  | ,82.33,11.39,70.94
M-31-2026 Reliance Retail (Fruitways Marketing Pty. Ltd) Apple Container No. MNBU4391735.pdf, | 19.75 |  | 17.35 |  | ,86.58,12.41,74.17
M-31-2026 Reliance Retail (Fruitways Marketing Pty. Ltd) Apple Container No. MNBU4391735.pdf, |  |  | 18 & 19 |  | ,9296,2829,6467
M-35-2026 Reliance Retail (SOC. Agr. Coop. Lagnasco Group) Apple Container No. TLLU1107113.pdf, | 1 |  |  | 100 | ,156.872,0.023,156.849
M-35-2026 Reliance Retail (SOC. Agr. Coop. Lagnasco Group) Apple Container No. TLLU1107113.pdf,2 |  |  | 100 |  | ,156.444,0.191,156.253
M-35-2026 Reliance Retail (SOC. Agr. Coop. Lagnasco Group) Apple Container No. TLLU1107113.pdf, | 3 |  |  | 100 | ,156.428,0.199,156.229
M-35-2026 Reliance Retail (SOC. Agr. Coop. Lagnasco Group) Apple Container No. TLLU1107113.pdf,4 |  |  | 100 |  | ,156.460,0.183,156.277
M-35-2026 Reliance Retail (SOC. Agr. Coop. Lagnasco Group) Apple Container No. TLLU1107113.pdf, | 5 |  |  | 113 | ,169.012,0.407,168.605
M-35-2026 Reliance Retail (SOC. Agr. Coop. Lagnasco Group) Apple Container No. TLLU1107113.pdf,6 |  |  | 113 |  | ,168.948,0.439,168.509
M-35-2026 Reliance Retail (SOC. Agr. Coop. Lagnasco Group) Apple Container No. TLLU1107113.pdf, | 7 |  |  | 113 | ,169.468,0.179,169.289
M-35-2026 Reliance Retail (SOC. Agr. Coop. Lagnasco Group) Apple Container No. TLLU1107113.pdf,8 |  |  | 138 |  | ,194.448,0.189,194.259
M-35-2026 Reliance Retail (SOC. Agr. Coop. Lagnasco Group) Apple Container No. TLLU1107113.pdf, | 9 |  |  | 138 | ,194.776,0.025,194.751
M-35-2026 Reliance Retail (SOC. Agr. Coop. Lagnasco Group) Apple Container No. TLLU1107113.pdf,10 |  |  | 138 |  | ,194.024,0.401,193.623
M-35-2026 Reliance Retail (SOC. Agr. Coop. Lagnasco Group) Apple Container No. TLLU1107113.pdf, | 11 |  |  | 125 | ,181.964,0.069,181.895
M-35-2026 Reliance Retail (SOC. Agr. Coop. Lagnasco Group) Apple Container No. TLLU1107113.pdf,12 |  |  | 125 |  | ,181.840,0.007,181.833
M-35-2026 Reliance Retail (SOC. Agr. Coop. Lagnasco Group) Apple Container No. TLLU1107113.pdf, | 13 |  |  | 125 | ,181.772,0.027,181.745
M-35-2026 Reliance Retail (SOC. Agr. Coop. Lagnasco Group) Apple Container No. TLLU1107113.pdf,14 |  |  | 150 |  | ,206.612,0.107,206.505
M-35-2026 Reliance Retail (SOC. Agr. Coop. Lagnasco Group) Apple Container No. TLLU1107113.pdf, | 15 |  |  | 150 | ,206.340,0.243,206.097
M-35-2026 Reliance Retail (SOC. Agr. Coop. Lagnasco Group) Apple Container No. TLLU1107113.pdf,Total 18 Boxes |  |  |  |  | ,847.408,2.491,844.917
M-38-2025 Reliance Retails Apple - Container No. MNBU4113009.pdf, | 1. |  |  | 100 - Granny | ,119.98,18.08,101.90
M-38-2025 Reliance Retails Apple - Container No. MNBU4113009.pdf, | 2. |  |  | 100 - Granny | ,119.60,17.7,101.90
M-38-2025 Reliance Retails Apple - Container No. MNBU4113009.pdf, | 3. |  |  | 100 - Granny | ,119.71,17.81,101.90
M-38-2025 Reliance Retails Apple - Container No. MNBU4113009.pdf, | 4. |  |  | 100 - Granny | ,119.71,17.81,101.90
M-38-2025 Reliance Retails Apple - Container No. MNBU4113009.pdf, | 5. |  |  | 100 - Granny | ,119.68,17.78,101.90
M-38-2025 Reliance Retails Apple - Container No. MNBU4113009.pdf, | 6. |  |  | 100 - Granny | ,119.65,17.75,101.90
M-38-2025 Reliance Retails Apple - Container No. MNBU4113009.pdf, | 7. |  |  | 100 - Granny | ,119.66,17.76,101.90
M-38-2025 Reliance Retails Apple - Container No. MNBU4113009.pdf, | 8. |  |  | 100 - Granny | ,119.73,17.83,101.90
M-38-2025 Reliance Retails Apple - Container No. MNBU4113009.pdf, | 9. |  |  | 110 - Granny | ,129.85,17.95,111.90
M-38-2025 Reliance Retails Apple - Container No. MNBU4113009.pdf, | 10. |  |  | 110 - Granny | ,129.95,18.05,111.90
M-38-2025 Reliance Retails Apple - Container No. MNBU4113009.pdf, | 11. |  |  | 110 - Gala | ,129.99,18.09,111.90
M-38-2025 Reliance Retails Apple - Container No. MNBU4113009.pdf, | 12. |  |  | 110 - Gala | ,129.87,17.97,111.90
M-38-2025 Reliance Retails Apple - Container No. MNBU4113009.pdf, | 13. |  |  | 135 - Gala | ,155.09,18.13,136.96
M-38-2025 Reliance Retails Apple - Container No. MNBU4113009.pdf, | 14. |  |  | 135 - Gala | ,155.01,18.05,136.96
M-38-2025 Reliance Retails Apple - Container No. MNBU4113009.pdf, | 15. |  |  | 150- Gala | ,169.82,17.88,151.94
M-38-2025 Reliance Retails Apple - Container No. MNBU4113009.pdf, | 16. |  |  | 150- Gala | ,169.91,17.97,151.94
M-38-2025 Reliance Retails Apple - Container No. MNBU4113009.pdf, | 17. |  |  | 150- Gala | ,169.96,18.02,151.94
M-38-2025 Reliance Retails Apple - Container No. MNBU4113009.pdf, | 18. |  |  | 150- Gala | ,169.94,18,151.94
M-38-2025 Reliance Retails Apple - Container No. MNBU4113009.pdf, | 19. |  |  | 150- Gala | ,169.82,17.88,151.94
M-38-2025 Reliance Retails Apple - Container No. MNBU4113009.pdf, | Total 19 Boxes |  |  |  | ,376.93,340.51,36.42
M-41-2025 Reliance Retails Ltd - Apple Container No. EMCU5638443 - 1st Addendum Report.pdf, | Percentage |  |  |  | ,101,100,1
M-43-2026 Reliance Retail Ltd (Core fruit (PTY) Ltd) Apple & Pear Container No. HLBU9066390.pdf, |  | Curate Pear Abate Fetel Imp Safri 1 pc | 60 | 90,61,90,29
M-43-2026 Reliance Retail Ltd (Core fruit (PTY) Ltd) Apple & Pear Container No. HLBU9066390.pdf, |  | Curate Pear Forelle Bites Imp Safri 1 pc | 96 | 270,97,270,173
M-43-2026 Reliance Retail Ltd (Core fruit (PTY) Ltd) Apple & Pear Container No. HLBU9066390.pdf, |  | RSA Apple Royal Gala pg120c-18kgbox | 120 | 112,120,112,8
M-43-2026 Reliance Retail Ltd (Core fruit (PTY) Ltd) Apple & Pear Container No. HLBU9066390.pdf, |  | Curate apple Royal Gla Bites Imp safri 1pc | 165 | 56,165,56,109
M-43-2026 Reliance Retail Ltd (Core fruit (PTY) Ltd) Apple & Pear Container No. HLBU9066390.pdf, |  | Curate Apple Royal Gala Imp Safri 1 pc | 100 | 107,101,107,6
M-43-2026 Reliance Retail Ltd (Core fruit (PTY) Ltd) Apple & Pear Container No. HLBU9066390.pdf, |  | RSA Apple Royal Gala Pg110C | 110 | 117,110,117,7
M-43-2026 Reliance Retail Ltd (Core fruit (PTY) Ltd) Apple & Pear Container No. HLBU9066390.pdf, |  | RSA Apple Royal Gala Pg150c | 150 | 273,300,273,27
