filename,report_number,type,family,commodity,client,container_count,photo_count,page_count,date,content_hash
M-274-2025 NGK Trading Apple Container No. CGMU9335266.pdf,M-274-2025,SURVEY,SURVEY_REPORT,APPLE,NGK Trading Company Pvt.Ltd,1,90,17,20 February 2026,9df23c83d67136cb
M-275-2025 NGK Trading Apple Contaier No. MNBU4669934.pdf,M-275-2025,SURVEY,SURVEY_REPORT,APPLE,NGK Trading Company Pvt.Ltd,1,138,24,20 February 2026,2ec9a5053968b642
M-28-2025 Gajumal Mulchand - Apple Container No. CGMU6914921 - Revised.pdf,M-28-2025,SURVEY,SURVEY_REPORT,APPLE,No.24 New Fruit Market,1,133,16,9 April 2025,28b1a3e61ca25b11
M-28-2026 NGK Trading (TYT Export S.A) Apple Container No. SEKU9078322.pdf,M-28-2026,SURVEY,SURVEY_REPORT,APPLE,NGK Trading Company Pvt.Ltd,1,106,19,27 February 2026,5649b38ef47216a3
M-29-2026 NGK Trading (TYT Export S.A) Apple Container No. SEKU9111462.pdf,M-29-2026,SURVEY,SURVEY_REPORT,APPLE,NGK Trading Company Pvt.Ltd,1,100,18,27 February 2026,f3ec481ae87f8a4c
M-31-2026 Reliance Retail (Fruitways Marketing Pty. Ltd) Apple Container No. MNBU4391735.pdf,M-31-2026,SURVEY,SURVEY_REPORT,APPLE,Reliance Retail Limited,1,190,32,9 April 2026,408f4a406ac5cc41
M-35-2026 Reliance Retail (SOC. Agr. Coop. Lagnasco Group) Apple Container No. TLLU1107113.pdf,M-35-2026,SURVEY,SURVEY_REPORT,APPLE,Reliance Retail Ltd,1,160,25,22 March 2026,11cab48db6e11f86
M-36-2026 NGK Trading (Apot Societa Cooperativa Agricola) Apple Container No. TEMU9685328.pdf,M-36-2026,SURVEY,SURVEY_REPORT,APPLE,NGK Trading Company Pvt.Ltd,1,96,18,18 March 2026,cb02acdce1c28b71
M-37-2026 NGK Trading (Apot Societa Cooperativa Agricola) Apple Container No. HMMU5443871.pdf,M-37-2026,SURVEY,SURVEY_REPORT,APPLE,NGK Trading Company Pvt.Ltd,1,84,17,18 March 2026,5e2ff639a9619a48
M-38-2025 Reliance Retails Apple - Container No. MNBU4113009.pdf,M-38-2025,SURVEY,SURVEY_REPORT,APPLE,Reliance Retail Ltd,1,141,12,30 April 2025,f8d378aabe5fa1c2
M-38-2026 Anusaya Fresh (Agropecuaria Schio Ltda) Apple Container No. TRIU8896998 (Kolkatta).pdf,M-38-2026,SURVEY,SURVEY_REPORT,APPLE,Anusaya Fresh India Pvt.Ltd,1,104,19,8 March 2026,4eb7f866e3963f12
